sports_ref_ID,Player,From,To,School,Conf,G,MP,3P,3PA,threeP_percent,FT,FTA,FT_percent,PTS,3PG,threePAG,basketball_ref_ID,Player,G,MPG,3P,NBA_3PA,NBA_3P_percent
/cbb/players/kyle-korver-1.html,Kyle Korver,2002,2003,Creighton,MVC,63,1998,208,453,0.459161148,206,229,0.899563319,1042,3.3,7.2,/players/k/korveky01.html,Kyle Korver,1031,26.5,2049,4754,0.431005469
/cbb/players/stephen-curry-1.html,Stephen Curry,2007,2009,Davidson,Southern,104,,414,1004,0.412350598,479,547,0.875685558,2635,4,9.7,/players/c/curryst01.html,Stephen Curry,574,34.7,1917,4379,0.437771181
/cbb/players/james-harden-1.html,James Harden,2008,2009,Arizona State,Pac-10,69,,102,271,0.376383764,373,494,0.755060729,1309,1.5,3.9,/players/h/hardeja01.html,James Harden,615,33.6,1382,3801,0.363588529
/cbb/players/mike-dunleavy-2.html,Mike Dunleavy,2002,2002,Duke,ACC,35,1133,88,233,0.377682403,81,119,0.680672269,605,2.5,6.7,/players/d/dunlemi02.html,Mike Dunleavy,986,27.7,1304,3460,0.376878613
/cbb/players/carmelo-anthony-1.html,Carmelo Anthony,2003,2003,Syracuse,Big East,35,1274,56,166,0.337349398,168,238,0.705882353,778,1.6,4.7,/players/a/anthoca01.html,Carmelo Anthony,976,36.2,1172,3387,0.346028934
/cbb/players/kevin-durant-1.html,Kevin Durant,2007,2007,Texas,Big 12,35,1255,82,203,0.403940887,209,256,0.81640625,903,2.3,5.8,/players/d/duranke01.html,Kevin Durant,703,37.4,1260,3321,0.379403794
/cbb/players/deron-williams-1.html,Deron Williams,2003,2005,Illinois,Big Ten,101,3200,163,436,0.373853211,148,216,0.685185185,1111,1.6,4.3,/players/w/willide01.html,Deron Williams,845,34.2,1178,3296,0.357402913
/cbb/players/wesley-matthews-1.html,Wesley Matthews,2006,2009,Marquette,Big East,127,,100,293,0.341296928,549,687,0.799126638,1673,0.8,2.3,/players/m/matthwe02.html,Wesley Matthews,592,32.7,1252,3265,0.383460949
/cbb/players/klay-thompson-1.html,Klay Thompson,2009,2011,Washington State,Pac-10,98,2275,242,620,0.390322581,316,382,0.827225131,1756,2.5,6.3,/players/t/thompkl01.html,Klay Thompson,464,32.7,1328,3171,0.418795333
/cbb/players/kirk-hinrich-1.html,Kirk Hinrich,2002,2003,Kansas,Big 12,74,2383,155,357,0.434173669,172,229,0.751091703,1187,2.1,4.8,/players/h/hinriki01.html,Kirk Hinrich,879,30.7,1172,3122,0.375400384
/cbb/players/ryan-anderson-1.html,Ryan Anderson,2007,2008,University of California,Pac-10,66,2178,122,308,0.396103896,276,328,0.841463415,1236,1.8,4.7,/players/a/anderry01.html,Ryan Anderson,556,26.5,1184,3107,0.381074992
/cbb/players/jj-redick-1.html,J.J. Redick,2003,2006,Duke,ACC,139,4732,457,1126,0.405861456,662,726,0.91184573,2769,3.3,8.1,/players/r/redicjj01.html,J.J. Redick,690,24.9,1271,3064,0.414817232
/cbb/players/randy-foye-1.html,Randy Foye,2003,2006,Villanova,Big East,131,4096,213,647,0.329211747,389,498,0.781124498,1966,1.6,4.9,/players/f/foyera01.html,Randy Foye,752,25.6,1104,3017,0.365926417
/cbb/players/jameer-nelson-1.html,Jameer Nelson,2002,2004,Saint Joseph's,A-10,92,3197,188,518,0.362934363,350,451,0.776053215,1682,2,5.6,/players/n/nelsoja01.html,Jameer Nelson,828,28.4,1112,3010,0.369435216
/cbb/players/kevin-martin-1.html,Kevin Martin,2002,2004,Western Carolina,Southern,79,2515,174,503,0.345924453,534,635,0.840944882,1838,2.2,6.4,/players/m/martike02.html,Kevin Martin,714,30.2,1141,2969,0.38430448
/cbb/players/ben-gordon-1.html,Ben Gordon,2002,2004,Connecticut,Big East,106,3291,246,581,0.423407917,369,464,0.795258621,1795,2.3,5.5,/players/g/gordobe01.html,Ben Gordon,744,27.4,1171,2921,0.400890106
/cbb/players/mo-williams-1.html,Mo Williams,2002,2003,Alabama,SEC,64,2159,90,306,0.294117647,182,215,0.846511628,838,1.4,4.8,/players/w/willima01.html,Mo Williams,818,29.2,1094,2891,0.378415773
/cbb/players/damian-lillard-1.html,Damian Lillard,2009,2012,Weber State,Big Sky,104,2452,246,630,0.39047619,520,600,0.866666667,1934,2.4,6.1,/players/l/lillada01.html,Damian Lillard,396,36.4,1042,2818,0.369765791
/cbb/players/steve-blake-1.html,Steve Blake,2002,2003,Maryland,ACC,67,2162,108,282,0.382978723,129,157,0.821656051,647,1.6,4.2,/players/b/blakest01.html,Steve Blake,870,23.9,1037,2709,0.38279808
/cbb/players/chris-paul-1.html,Chris Paul,2004,2005,Wake Forest,ACC,63,2110,86,183,0.469945355,306,365,0.838356164,948,1.4,2.9,/players/p/paulch01.html,Chris Paul,834,35.5,997,2692,0.370356612
/cbb/players/eric-gordon-1.html,Eric Gordon,2008,2008,Indiana,Big Ten,32,1110,70,208,0.336538462,231,277,0.833935018,669,2.2,6.5,/players/g/gordoer01.html,Eric Gordon,492,33.5,1023,2690,0.380297398
/cbb/players/danny-granger-1.html,Danny Granger,2002,2005,Total,Total,95,2695,78,213,0.366197183,450,598,0.752508361,1586,0.8,2.2,/players/g/grangda01.html,Danny Granger,586,31.5,1006,2644,0.380484115
/cbb/players/raymond-felton-1.html,Raymond Felton,2003,2005,North Carolina,ACC,101,3421,174,464,0.375,258,353,0.730878187,1260,1.7,4.6,/players/f/feltora01.html,Raymond Felton,856,31.6,824,2522,0.326724822
/cbb/players/rasual-butler-1.html,Rasual Butler,2002,2002,La Salle,A-10,32,1252,57,158,0.360759494,147,172,0.854651163,670,1.8,4.9,/players/b/butlera01.html,Rasual Butler,809,21.3,911,2520,0.361507937
/cbb/players/nick-young-1.html,Nick Young,2005,2007,Southern California,Pac-10,96,2990,95,258,0.368217054,285,373,0.764075067,1486,1,2.7,/players/y/youngni01.html,Nick Young,636,23.6,913,2430,0.375720165
/cbb/players/paul-george-1.html,Paul George,2009,2010,Fresno State,WAC,63,962,122,308,0.396103896,212,264,0.803030303,974,1.9,4.9,/players/g/georgpa01.html,Paul George,448,32.8,897,2425,0.369896907
/cbb/players/isaiah-thomas-1.html,Isaiah Thomas,2009,2011,Washington,Pac-10,105,2204,164,505,0.324752475,449,630,0.712698413,1721,1.6,4.8,/players/t/thomais02.html,Isaiah Thomas,441,30,866,2361,0.366793731
/cbb/players/oj-mayo-1.html,O.J. Mayo,2008,2008,Southern California,Pac-10,33,1216,88,215,0.409302326,122,152,0.802631579,684,2.7,6.5,/players/m/mayooj01.html,O.J. Mayo,547,30.9,854,2287,0.373414954
/cbb/players/kemba-walker-1.html,Kemba Walker,2009,2011,Connecticut,Big East,111,2740,126,387,0.325581395,501,640,0.7828125,1783,1.1,3.5,/players/w/walkeke02.html,Kemba Walker,443,33.9,792,2257,0.350908285
/cbb/players/nate-robinson-1.html,Nate Robinson,2003,2005,Washington,Pac-10,89,2510,127,365,0.347945205,264,333,0.792792793,1283,1.4,4.1,/players/r/robinna01.html,Nate Robinson,618,22.5,811,2255,0.359645233
/cbb/players/aaron-brooks-1.html,Aaron Brooks,2004,2007,Oregon,Pac-10,115,3759,205,548,0.374087591,306,367,0.833787466,1511,1.8,4.8,/players/b/brookaa01.html,Aaron Brooks,613,21.6,809,2187,0.369913123
